LocationType,LocationCategory,Operation,Schedule
House,Accommodation,AllDay,Everyday
ApartmentComplex,Accommodation,AllDay,Everyday
Inn,Accommodation,AllDay,Everyday
Bank,Administration,Morning,ClosedSunday
CityHall,Administration,Morning,ClosedSunday
CommunityCenter,Administration,AllDay,Everyday
PostOffice,Administration,Morning,ClosedSunday
FireStation,Administration,AllDay,Everyday
PoliceStation,Administration,AllDay,Everyday
Park,Amenity,AllDay,Everyday
Cemetery,Amenity,AllDay,Everyday
DayCare,ChildCare,Morning,Weekdays
School,ChildCare,Morning,Weekdays
CarpentryCompany,Commerce,Morning,Weekdays
FurnitureStore,Commerce,Morning,MondayToThursday
GeneralStore,Commerce,AllDay,ClosedSunday
HardwareStore,Commerce,Morning,Weekdays
Bar,Eatery,Evening,ThursdayToSunday
Diner,Eatery,AllDay,ClosedSaturday
Restaurant,Eatery,AllDay,Everyday
Bakery,Food,Morning,Everyday
Brewery,Food,Morning,ClosedMonday
ButcherShop,Food,Morning,ClosedSunday
CandyShop,Food,Morning,ClosedSunday
Dairy,Food,Morning,Weekdays
Distillery,Food,Morning,ClosedMonday
GroceryStore,Food,AllDay,Everyday
DoctorOffice,Health,Morning,Everyday
DentistOffice,Health,Morning,Weekdays
OptometryClinic,Health,Morning,Weekdays
Hospital,Health,AllDay,Everyday
Pharmacy,Health,Morning,Everyday
Farm,Industry,Morning,Everyday
Foundry,Industry,AllDay,ClosedThursday
LumberMill,Industry,Morning,ClosedTuesday
Orchard,Industry,Morning,Everyday
Quarry,Industry,Morning,ClosedWednesday
Barbershop,Personal,Morning,Weekdays
ClothingStore,Personal,Morning,ClosedSunday
DepartmentStore,Personal,AllDay,Weekdays
JewelryShop,Personal,Morning,TuesdayToFriday
ShoemakerShop,Personal,Morning,MondayToThursday
TailorShop,Personal,Morning,ClosedSunday
TattooParlor,Personal,Morning,ClosedSaturday